Wall time,Step,Value
1711498990.522246,1915439,169.5648956298828
1711498994.9175367,1918052,169.8813934326172
1711498999.8519404,1920712,171.69029235839844
1711499007.82772,1925594,178.30543518066406
1711499010.6727562,1927504,180.2364044189453
1711499017.616769,1932653,186.1793670654297
1711499019.9863777,1934391,188.4475860595703
1711499024.301762,1937542,191.75498962402344
1711499026.2673216,1939063,197.26736450195312
1711499029.363337,1941139,199.532470703125
1711499031.9984682,1943031,200.3367156982422
1711499037.8953412,1946754,209.650634765625
1711499039.5163898,1948107,210.5476531982422
1711499042.019645,1949918,214.5838165283203
1711499043.6016045,1951199,219.66143798828125
1711499048.8448844,1954934,228.3798065185547
1711499054.3001013,1958684,227.25537109375
1711499058.9797807,1962104,226.46409606933594
1711499062.2241652,1964292,227.99713134765625
1711499064.5917776,1966132,231.56759643554688
1711499066.9155705,1967720,234.51336669921875
1711499069.264426,1969435,235.731689453125
1711499080.6951408,1977343,233.56114196777344
1711499083.3844426,1979224,234.01568603515625
1711499085.3685665,1980696,233.8260955810547
1711499087.3062258,1982239,234.8649139404297
1711499097.4448032,1988436,230.8992919921875
1711499101.0690117,1990742,229.93919372558594
1711499104.9361799,1992841,231.9344482421875
1711499109.617623,1995495,229.1392059326172
1711499114.577589,1998396,228.0539093017578
1711499122.275895,2003057,222.0558319091797
1711499124.2454388,2004572,222.70834350585938
1711499130.7457163,2007709,217.61839294433594
1711499137.3256786,2011084,212.5985565185547
1711499144.3206127,2015575,211.20050048828125
1711499147.698953,2017730,211.82061767578125
1711499149.871785,2019328,211.8172607421875
1711499153.9753416,2021920,209.5003204345703
1711499157.5831163,2024301,208.71908569335938
1711499160.051634,2026073,208.00827026367188
1711499163.273477,2028177,208.5210418701172
1711499168.089684,2031652,210.71697998046875
1711499172.2870097,2034317,209.6890411376953
1711499175.311489,2036466,207.77276611328125
1711499180.351571,2040155,208.58729553222656
1711499182.6356273,2041829,210.77578735351562
1711499187.1784263,2045235,213.82489013671875
1711499189.0382853,2046701,214.85931396484375
1711499199.4182928,2054080,221.46583557128906
1711499201.5742657,2055786,220.60427856445312
1711499207.6035674,2059867,230.11328125
1711499210.0444775,2061691,230.6703643798828
1711499212.6802704,2063586,232.16690063476562
1711499215.1228573,2065355,233.2072296142578
1711499217.6204147,2067104,232.10855102539062
1711499220.9077833,2069172,231.8534698486328
1711499225.2049463,2071504,231.7586212158203
1711499233.1462374,2076328,229.1368408203125
1711499237.4325824,2078825,227.5478973388672
1711499239.4843838,2080349,228.6444091796875
1711499256.4503822,2089136,217.1652374267578
1711499260.7154872,2091525,214.4915313720703
1711499263.3838851,2093397,214.5904083251953
1711499265.9498034,2095202,214.89703369140625
1711499275.7810633,2100762,208.59597778320312
1711499295.9876199,2113976,204.45687866210938
1711499299.4583476,2116128,204.051513671875
1711499305.832404,2119343,199.73912048339844
1711499308.6313114,2121279,199.6371307373047
1711499312.0150328,2123428,198.5395965576172
1711499329.0671222,2133362,196.08865356445312
1711499338.5670238,2139524,196.03903198242188
1711499342.150361,2141826,202.01498413085938
1711499347.821758,2145831,206.9239959716797
1711499358.2227578,2152344,207.9644775390625
1711499360.9832103,2154243,209.8159637451172
1711499368.3626041,2158955,211.15257263183594
1711499371.8208349,2161103,210.92092895507812
1711499374.7181194,2163202,211.03460693359375
1711499377.5506792,2165131,212.2342529296875
1711499383.047454,2168869,217.0624237060547
1711499385.2050893,2170504,217.40003967285156
1711499387.548987,2172241,222.3425750732422
1711499389.5332217,2173769,223.46099853515625
1711499392.8724415,2175922,223.8549346923828
1711499395.4569154,2177712,227.26950073242188
1711499397.7405179,2179385,229.5459442138672
1711499401.5162802,2181729,229.93606567382812
1711499404.4985754,2183750,230.0901641845703
1711499412.6657932,2188871,227.80056762695312
1711499416.287535,2191132,228.05137634277344
1711499425.580361,2196694,224.29417419433594
1711499433.097359,2201536,221.3247833251953
1711499436.674161,2203656,221.99356079101562
1711499444.6897984,2208556,221.37489318847656
1711499455.0103428,2214532,215.87559509277344
1711499459.485872,2217213,215.57196044921875
1711499465.6064608,2220507,212.81954956054688
1711499469.9175296,2222965,212.02638244628906
1711499483.0463786,2230581,206.27777099609375
1711499486.9145799,2233075,204.43954467773438
1711499490.0261798,2235212,204.1876678466797
1711499493.2613204,2237409,203.69149780273438
1711499498.9151068,2241157,199.0943603515625
1711499501.1998272,2242793,200.01185607910156
1711499505.6647654,2246276,203.17164611816406
1711499508.872416,2248421,203.9078369140625
1711499522.9680386,2258145,211.2156524658203
1711499525.338538,2259907,212.37579345703125
1711499530.0031962,2263284,214.06044006347656
1711499533.5309608,2265575,216.41770935058594
1711499539.2836704,2269537,221.20111083984375
1711499542.7223017,2271927,223.0003204345703
